Company Name,Website,Email,Phone,Responsible Person,Main Business,Relevance
The Scotts Miracle-Gro Company,https://scottsmiraclegro.com,ron.silverthorn@scottsmiracle-gro.com,(937) 644-0011,Ron Silverthorn,Lawn & Garden Pest Control (Ortho),Top global brand for pest control; looking for OEM partners.
Procter & Gamble (Zevo),https://us.pg.com/brands/zevo/,beth.aldemeyer@pg.com,(513) 983-1100,Beth Aldemeyer,Consumer Products (Zevo Insect Traps),High-growth brand for indoor/outdoor bug traps.
Murphy's Naturals,https://www.murphysnaturals.com,alex@murphysnaturals.com,(919) 335-5026,Alex Tomaras,Natural Mosquito Repellents,B-Corp with huge demand for sustainable sourcing.
Ragan & Massey LLC,https://www.raganandmassey.com,mikem@raganandmassey.com,(985) 386-6042,Mike Massey,Insect Control (Compare-N-Save),Distributor and manufacturer of pest control solutions.
Swissinno Solutions AG,https://www.swissinno.com,gabriel.lelaidier@swissinno.com,+41 71 222 83 07,Gabriel Le Laidier,Animal-respectful Pest Control,Leading European innovator in traps and repellents.
Biogents AG,https://eu.biogents.com,loic.cecillon@biogents.com,+49 941 604889-00,Loïc Cécillon,Mosquito Specialist (Traps),German leader in mosquito-specific control technology.
Stocker Srl,https://www.stockergarden.com,info@stockergarden.com,+39 0473 232116,Lori Stocker,Outdoor & Garden Equipment (Geyser),Major Italian distributor of outdoor pest systems.
Pestrol Australia,https://www.pestrol.com.au,sjones@pestrol.com.au,1800 33 88 88,Stephen Jones,Home & Garden Pest Control,Australia's largest DIY pest control distributor.
AP&G Co. (Catchmaster),https://www.catchmaster.com,dwei@catchmasterpro.com,(800) 458-7454,Davey Wei Tian,Pest Control Devices (Catchmaster),Global sourcing director for a major US pest brand.
Summit Chemical Company,https://summitchemical.com,zcohen@summitchemical.com,(410) 522-0661,Zachary Cohen,Mosquito Dunks & Responsible Solutions,Maker of the world-famous Mosquito Dunks.
PIC Corporation,https://pic-corp.com,bsteve@pic-corp.com,(800) 255-3924,Bob Stevenson,Pest Control Solutions,Specialized in bug zappers and coils for major retail.
Velleman Group nv,https://www.vellemangroup.eu,bert.derycke@vellemangroup.eu,+32 9 384 36 11,Bert De Rycke,Electronics & Outdoor (Perel),Major European wholesaler with huge zapper range.
Nedis BV,https://nedis.com,john.laurijsen@nedis.com,+31 73 599 10 55,John Laurijsen,Consumer Electronics (Bug Zappers),Leading Dutch distributor of home insect killers.
Kingfisher plc (B&Q/Castorama),https://www.kingfisher.com,larry.lam@kingfisher.com,+44 (0) 20 7372 8008,Larry Lam,Home Improvement Retailer,Global sourcing for B&Q and Castorama.
Bunnings Group Limited,https://www.bunnings.com.au,mhoffmann@bunnings.com.au,+61 3 8507 0000,Matthew Hoffmann,Hardware & Garden Retailer,Key buyer for Australian market leader.
Leroy Merlin,https://www.leroymerlin.fr,aguinvarch@leroymerlin.fr,+33 (0)3 28 80 80 80,Antony Guinvarch,Home Improvement & Gardening,Top European DIY retailer with private label sourcing.
OBI Group Sourcing GmbH,https://www.obisourcing.de,stefan.loewe@obi.de,+49 (0)2196 76-0,Stefan Loewe,DIY & Home Improvement,Major German retailer for outdoor insect control.
HORNBACH Baumarkt AG,https://www.hornbach.de,corey.lok@hornbach.com,+49 (0) 6348 60-00,Corey Lok,International DIY Retailer,European leader in garden and pest control products.
STV International Ltd,https://www.stvuk.com,info@stvuk.com,+44 (0) 1953 881580,Purchasing Manager,Pest Control Brands (Zero In),UK's leading trade supplier of DIY pest control.
Micnaron LLC,https://www.amazon.com/Micnaron,info@linkva.com,N/A,Sourcing Manager,Amazon Brand (Bug Zappers),High-volume Amazon private label seller.
Katchy,https://katchystore.com,support@katchystore.com,N/A,Joshua Zitting,Indoor Insect Traps,Viral Amazon brand for indoor bug traps.
Rutherford Inc (Faicuk),https://www.amazon.com/Faicuk,sales@rutherford.com,N/A,Brand Manager,Amazon Brand (Faicuk),Top-selling bug zapper rackets and traps.
iMirror Inc (Zap It!),https://www.amazon.com/ZAP-IT,info@imirror.com,N/A,Purchasing Director,Amazon Brand (Zap It!),Major player in portable bug zappers.
Adventure Ready Brands,https://adventurereadybrands.com,sourcing@adventurereadybrands.com,(800) 258-4696,Supply Chain Manager,Outdoor Repellents (Ben's),Major distributor of outdoor adventure insect products.
Globe Pest Solutions,https://globepestsolutions.com.au,dlavender@globeaus.com.au,1800 112 113,David Lavender,Professional Pest Management,Australia's leading pest equipment distributor.
PestWest Australia,https://pestwest.com.au,info@pestwest.com.au,08 9302 2088,David Ciocca,Fly Control Solutions,Specialized in high-end bug zappers for AU/Global.
Agserv Pty Ltd,https://www.agserv.com.au,sales@agserv.com.au,+61 2 9699 1777,Operations Manager,Pest Control Equipment,Major Australian wholesaler for pest products.
Adventure Medical Kits,https://www.adventuremedicalkits.com,info@adventuremedicalkits.com,(800) 258-4696,Sourcing Lead,First Aid & Insect Protection,Part of Adventure Ready Brands; high relevance.
Sawyer Products Europe,https://www.sawyereurope.com,info@sawyereurope.com,+44 (0) 1442 419200,Distribution Manager,Insect Repellents & Filtration,Sole distributor for Sawyer in UK/Europe.
Summit Responsible Solutions,https://summitchemical.com,info@summitchemical.com,(410) 522-0661,Zachary Cohen,Eco-friendly Pest Control,Leading name in biological mosquito control.
STV International (Zero In),https://www.stvuk.com,sales@stvuk.com,+44 (0) 1953 881580,Sourcing Manager,Home & Garden Pest Control,UK's top trade supplier for pest solutions.
Easy Pest Supplies,https://www.easypestsupplies.com.au,sales@easypestsupplies.com.au,1300 667 664,Manager,DIY Pest Control,High-volume Australian online distributor.
Insect-O-Matic,https://www.insectomatic.com.au,info@insectomatic.com.au,1300 467 328,Product Manager,Electric Fly Killers,Australian distributor for Insect-O-Cutor.
Pest Wholesale,https://www.pestwholesale.com.au,info@pestwholesale.com.au,1300 667 664,Sourcing Manager,Wholesale Pest Products,Major B2B supplier in Australia.
Hozelock Ltd,https://www.hozelock.com,purchasing@hozelock.com,+44 (0) 121 313 1122,Supply Chain Manager,Garden & Pest Control,Major UK garden brand with pest solutions.
Gardena GmbH,https://www.gardena.com,procurement@husqvarnagroup.com,+49 731 490-0,Sourcing Director,Garden Equipment & Care,Leading European garden brand; massive OEM potential.
Yates (DuluxGroup),https://www.yates.com.au,sourcing@duluxgroup.com.au,1300 369 074,Category Manager,Pest & Disease Control,Australia's most trusted garden brand.
Scott's Australia,https://www.scottsaustralia.com.au,sourcing@scotts.com.au,1800 803 012,Purchasing Manager,Lawn & Garden Care,Leading Australian provider of pest solutions.
Rentokil Initial (Products),https://www.rentokil.com,products@rentokil-initial.com,+44 (0) 1342 833 022,Head of Sourcing,Professional Pest Products,Global leader in pest control services and products.
Velleman Hong Kong Ltd,https://www.velleman.eu,sourcing@velleman.hk,+852 2389 3301,Buying Manager,Far East Sourcing Office,Sourcing hub for Velleman's European range.
Nedis Asia Ltd,https://nedis.com,sourcing@nedis.asia,+852 2389 3301,Purchasing Manager,Electronic & Home Sourcing,HK sourcing office for Nedis BV.
Klahaite,https://www.amazon.com/Klahaite,support@klahaite.com,N/A,Brand Owner,Amazon Brand (Bug Zapper),Fast-growing Amazon private label seller.
ZFITEI,https://www.amazon.com/ZFITEI,zfitei@outlook.com,N/A,Sourcing Manager,Amazon Brand (Bug Zapper),High-volume Amazon bug zapper brand.
GIKPAL,https://www.amazon.com/GIKPAL,gikpal@outlook.com,N/A,Brand Manager,Amazon Brand (Bug Zapper),Top-rated Amazon bug zapper seller.
LiBa (Innoo Tech),https://www.amazon.com/LiBa,support@liba.com,N/A,Founder,Amazon Brand (Electric Bug Zapper),Major Amazon player in zapper category.
Crioxen,https://www.amazon.com/Crioxen,info@crioxen.com,N/A,Sourcing Lead,Amazon Brand (Bug Zapper),Niche Amazon brand for indoor/outdoor zappers.
Endbug,https://www.amazon.com/Endbug,support@endbug.com,N/A,Brand Manager,Amazon Brand (Bug Zapper),Rising Amazon brand in pest control.
Innoo Tech,https://www.amazon.com/Innoo-Tech,support@innootech.com,N/A,Sourcing Manager,Amazon Multi-brand Seller,Owner of several pest control labels.
Douhe,https://www.amazon.com/Douhe,service@douhe.com,N/A,Purchasing Manager,Amazon Brand (Bug Zapper),Popular Amazon brand for small home appliances.
Huntjie,https://www.amazon.com/Huntjie,support@huntjie.com,N/A,Sourcing Lead,Amazon Brand (Bug Zapper),Emerging Amazon player in outdoor zappers.
